FLAG_GENDER_MALE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,OCCUPATION_TYPE,College_Education,Currently_Married,Marriage_Status,Paying_Housing,White_Collar,AGE_YR,YRS_WORKED,target_paid_1
1,1,1,0,675000.0,High skill tech staff,1,1,Married,1,1,32.0,6.0,0
1,1,1,0,675000.0,High skill tech staff,1,1,Married,1,1,32.0,6.0,0
0,1,0,2,270000.0,Secretaries,1,1,Married,1,1,37.0,12.0,0
0,1,0,2,270000.0,Secretaries,1,1,Married,1,1,37.0,12.0,0
0,1,0,2,135000.0,Laborers,0,1,Married,1,0,38.0,8.0,1
0,1,0,2,135000.0,Laborers,0,1,Married,1,0,38.0,8.0,1
0,1,0,2,135000.0,Laborers,0,1,Married,1,0,38.0,8.0,1
0,1,0,2,135000.0,Laborers,0,1,Married,1,0,38.0,8.0,1
0,1,1,0,121500.0,Sales staff,1,1,Married,1,1,27.0,4.0,0
0,0,1,2,90000.0,Drivers,1,1,Married,1,0,32.0,12.0,0
1,1,1,2,270000.0,Laborers,0,1,Married,1,0,36.0,11.0,0
1,1,1,2,270000.0,Laborers,0,1,Married,1,0,36.0,11.0,0
1,1,1,0,99000.0,Laborers,0,0,Single,1,0,56.0,0.0,0
1,0,1,0,135000.0,Laborers,0,0,Single,1,0,30.0,11.0,0
1,0,1,0,135000.0,Laborers,0,0,Single,1,0,30.0,11.0,0
1,0,1,0,135000.0,Laborers,0,0,Single,1,0,30.0,11.0,0
0,1,1,0,270000.0,High skill tech staff,0,1,Married,1,1,35.0,4.0,0
0,1,1,0,270000.0,High skill tech staff,0,1,Married,1,1,35.0,4.0,0
0,0,1,1,180000.0,Cleaning staff,0,1,Married,1,0,30.0,2.0,0
0,1,1,0,157500.0,Sales staff,1,1,Married,1,1,32.0,2.0,0
1,1,1,1,450000.0,Core staff,0,1,Married,1,1,49.0,1.0,1
1,1,1,1,450000.0,Core staff,0,1,Married,1,1,49.0,1.0,1
1,1,1,1,450000.0,Core staff,0,0,Single,1,1,49.0,1.0,1
1,1,1,0,112500.0,Low-skill Laborers,0,1,Married,1,0,62.0,2.0,1
1,1,1,0,112500.0,Low-skill Laborers,0,1,Married,1,0,62.0,2.0,0
0,0,0,0,94500.0,Sales staff,0,0,Previously Married,1,1,61.0,2.0,1
0,1,1,1,270000.0,Managers,0,1,Married,1,1,37.0,7.0,0
1,1,1,0,202500.0,Laborers,0,1,Married,1,0,31.0,2.0,0
1,1,1,0,225000.0,Drivers,0,0,Single,1,0,49.0,4.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,0,1,0,90000.0,Medicine staff,0,1,Married,1,1,54.0,0.0,0
0,1,1,0,157500.0,Sales staff,0,1,Married,1,1,29.0,5.0,0
0,1,1,0,135000.0,Sales staff,0,1,Married,1,1,32.0,0.0,0
0,0,1,0,135000.0,Sales staff,0,1,Married,1,1,50.0,14.0,0
1,0,1,0,135000.0,Laborers,0,0,Single,1,0,34.0,14.0,0
1,1,1,1,112500.0,Drivers,0,1,Married,1,0,46.0,0.0,0
1,1,1,1,112500.0,Drivers,0,1,Married,1,0,46.0,0.0,0
0,1,1,0,90000.0,Cooking staff,0,1,Married,1,0,51.0,2.0,1
0,1,1,0,90000.0,Cooking staff,0,1,Married,1,0,51.0,2.0,1
0,1,1,0,90000.0,Cooking staff,0,1,Married,1,0,51.0,2.0,1
0,0,0,0,225000.0,Core staff,1,0,Single,0,1,28.0,4.0,0
1,1,1,1,225000.0,Drivers,0,1,Married,1,0,37.0,3.0,0
0,0,1,2,112500.0,Sales staff,1,1,Married,1,1,29.0,0.0,0
0,0,1,1,225000.0,Sales staff,1,1,Married,1,1,29.0,6.0,0
0,0,0,0,135000.0,Accountants,0,0,Single,1,1,31.0,5.0,0
0,0,0,0,135000.0,Accountants,0,0,Single,1,1,31.0,5.0,0
1,0,1,0,270000.0,Laborers,0,1,Married,1,0,46.0,0.0,1
1,0,1,0,270000.0,Laborers,0,0,Single,1,0,46.0,0.0,1
1,0,1,0,270000.0,Laborers,0,1,Married,1,0,46.0,0.0,0
0,1,1,0,315000.0,Sales staff,0,1,Married,1,1,38.0,5.0,0
1,1,0,0,225000.0,Laborers,0,1,Married,1,0,54.0,18.0,0
1,1,0,0,225000.0,Laborers,0,1,Married,1,0,54.0,18.0,0
1,1,0,0,225000.0,Laborers,0,1,Married,1,0,54.0,18.0,0
0,0,1,0,247500.0,Managers,1,1,Married,1,1,60.0,1.0,0
0,0,1,0,247500.0,Managers,1,1,Married,1,1,60.0,1.0,1
0,0,1,0,121500.0,Core staff,0,1,Married,0,1,36.0,14.0,0
1,0,1,1,135000.0,Laborers,0,1,Married,1,0,28.0,3.0,0
0,0,1,0,135000.0,Cooking staff,0,1,Married,1,0,32.0,6.0,0
0,0,1,0,135000.0,Cooking staff,0,1,Married,1,0,32.0,6.0,0
1,0,1,1,135000.0,Laborers,0,1,Married,1,0,28.0,3.0,0
0,0,1,1,157500.0,Sales staff,0,1,Married,0,1,43.0,5.0,0
0,0,1,0,202500.0,Medicine staff,0,1,Married,1,1,57.0,4.0,0
0,0,1,2,126000.0,High skill tech staff,1,1,Married,1,1,34.0,13.0,0
0,0,1,0,112500.0,Medicine staff,0,1,Married,1,1,58.0,1.0,0
0,0,1,0,112500.0,Medicine staff,0,1,Married,1,1,58.0,1.0,0
0,0,1,0,112500.0,Medicine staff,0,1,Married,1,1,58.0,1.0,0
0,0,1,0,292500.0,Managers,1,1,Married,1,1,34.0,14.0,0
1,1,1,1,270000.0,Low-skill Laborers,0,1,Married,1,0,36.0,3.0,0
1,1,1,1,270000.0,Low-skill Laborers,0,1,Married,1,0,36.0,3.0,0
1,0,1,0,202500.0,Cleaning staff,0,0,Previously Married,1,0,51.0,10.0,0
1,0,1,0,202500.0,Cleaning staff,0,0,Previously Married,1,0,51.0,10.0,0
1,0,1,0,202500.0,Cleaning staff,0,0,Previously Married,1,0,51.0,10.0,0
1,0,1,0,202500.0,Cleaning staff,0,0,Previously Married,1,0,51.0,10.0,0
0,1,1,1,112500.0,Sales staff,0,1,Married,1,1,41.0,9.0,0
0,1,1,1,112500.0,Sales staff,0,1,Married,1,1,41.0,9.0,0
0,1,1,1,112500.0,Sales staff,0,1,Married,1,1,41.0,9.0,0
0,1,1,1,112500.0,Sales staff,0,1,Married,1,1,41.0,9.0,0
0,0,1,2,202500.0,Laborers,0,1,Married,1,0,36.0,14.0,0
0,1,1,0,180000.0,Sales staff,0,1,Married,1,1,46.0,8.0,0
0,0,1,1,112500.0,Core staff,0,1,Married,1,1,28.0,7.0,0
0,0,1,0,225000.0,Core staff,0,1,Married,1,1,33.0,0.0,1
0,0,1,0,180000.0,Laborers,1,1,Married,1,0,30.0,4.0,0
1,1,0,0,171000.0,Laborers,0,0,Single,1,0,26.0,0.0,0
1,1,0,2,112500.0,Laborers,0,1,Married,1,0,35.0,0.0,0
1,1,0,2,112500.0,Laborers,0,1,Married,1,0,35.0,0.0,0
0,0,1,0,135000.0,Core staff,1,1,Married,1,1,35.0,4.0,0
0,0,0,1,103500.0,Sales staff,0,1,Married,1,1,32.0,3.0,0
1,1,1,1,225000.0,Laborers,0,1,Married,1,0,30.0,11.0,0
1,1,1,1,225000.0,Laborers,0,1,Married,1,0,30.0,11.0,0
0,1,0,1,225000.0,Core staff,0,0,Previously Married,1,1,32.0,4.0,1
0,0,1,0,216000.0,Core staff,1,1,Married,0,1,31.0,10.0,0
0,1,1,0,202500.0,Accountants,0,1,Married,1,1,43.0,11.0,0
0,1,1,0,202500.0,Accountants,0,1,Married,1,1,43.0,11.0,0
1,1,0,2,207000.0,Sales staff,0,1,Married,1,1,36.0,2.0,0
1,1,0,2,207000.0,Sales staff,0,1,Married,1,1,36.0,2.0,0
0,0,0,1,135000.0,High skill tech staff,0,0,Previously Married,1,1,41.0,21.0,0
0,1,1,1,94500.0,Managers,0,1,Married,1,1,54.0,18.0,0
1,1,0,0,112500.0,Drivers,0,1,Married,1,0,52.0,6.0,0
1,0,1,0,180000.0,Security staff,0,1,Married,1,0,52.0,9.0,0
1,0,1,0,180000.0,Security staff,0,1,Married,1,0,52.0,9.0,0
1,0,1,0,180000.0,Security staff,0,1,Married,1,0,52.0,9.0,0
1,1,0,0,225000.0,Managers,1,0,Single,1,1,29.0,0.0,0
0,0,0,2,112500.0,High skill tech staff,0,1,Married,1,1,34.0,13.0,1
0,0,1,1,234000.0,Core staff,0,0,Single,1,1,56.0,22.0,0
1,1,1,0,202500.0,Sales staff,0,1,Married,1,1,23.0,0.0,0
1,1,1,0,202500.0,Sales staff,0,1,Married,1,1,23.0,0.0,0
0,1,1,1,157500.0,High skill tech staff,1,1,Married,0,1,29.0,1.0,0
0,1,1,1,157500.0,High skill tech staff,1,1,Married,0,1,29.0,1.0,0
0,0,1,0,90000.0,Laborers,0,1,Married,1,0,45.0,1.0,1
0,0,1,0,90000.0,Laborers,0,1,Married,1,0,45.0,1.0,1
0,0,1,0,90000.0,Laborers,0,1,Married,1,0,45.0,1.0,1
0,0,1,0,247500.0,Core staff,1,0,Single,1,1,32.0,5.0,0
0,0,1,0,247500.0,Core staff,1,0,Single,1,1,32.0,5.0,0
0,0,1,0,247500.0,Core staff,1,0,Single,1,1,32.0,5.0,0
0,0,1,0,247500.0,Core staff,1,0,Single,1,1,32.0,5.0,0
0,0,1,0,247500.0,Core staff,1,0,Single,1,1,32.0,5.0,0
0,0,1,0,112500.0,Sales staff,1,1,Married,1,1,30.0,6.0,0
0,0,1,0,112500.0,Sales staff,1,1,Married,1,1,30.0,6.0,0
1,0,1,0,337500.0,Managers,1,1,Married,1,1,36.0,14.0,0
1,0,1,0,337500.0,Managers,1,1,Married,1,1,36.0,14.0,0
1,1,1,0,202500.0,Laborers,0,1,Married,1,0,32.0,4.0,0
1,1,1,1,135000.0,Managers,1,1,Married,1,1,32.0,0.0,0
0,0,1,0,247500.0,Private service staff,0,0,Single,1,0,37.0,3.0,0
0,0,1,0,112500.0,Sales staff,0,0,Single,1,1,43.0,2.0,0
0,1,1,0,135000.0,Laborers,0,1,Married,1,0,29.0,8.0,0
1,1,1,0,315000.0,Drivers,0,0,Single,1,0,38.0,14.0,1
1,1,1,0,315000.0,Drivers,0,0,Single,1,0,38.0,14.0,0
1,1,1,0,315000.0,Drivers,0,0,Single,1,0,38.0,14.0,0
0,0,1,0,261000.0,Laborers,0,0,Single,1,0,23.0,2.0,0
0,0,1,0,261000.0,Laborers,0,0,Single,1,0,23.0,2.0,0
0,0,1,0,261000.0,Laborers,0,0,Single,1,0,23.0,2.0,0
0,0,1,0,261000.0,Laborers,0,0,Single,1,0,23.0,2.0,0
1,1,1,0,202500.0,Core staff,0,1,Married,1,1,47.0,4.0,0
1,1,1,0,202500.0,Core staff,0,1,Married,1,1,47.0,4.0,0
0,1,1,0,180000.0,Core staff,1,0,Single,1,1,45.0,15.0,0
1,0,1,0,315000.0,Laborers,0,1,Married,1,0,36.0,7.0,0
0,0,1,0,225000.0,Managers,1,0,Single,1,1,33.0,7.0,0
0,0,1,0,180000.0,Cleaning staff,0,0,Single,1,0,63.0,31.0,0
0,0,0,0,157500.0,Sales staff,0,1,Married,1,1,37.0,5.0,0
1,1,1,1,112500.0,Laborers,0,1,Married,1,0,30.0,1.0,0
1,1,1,1,112500.0,Laborers,0,1,Married,1,0,30.0,1.0,0
1,1,1,1,112500.0,Laborers,0,1,Married,1,0,30.0,1.0,0
0,1,0,1,175500.0,Laborers,0,0,Single,0,0,32.0,13.0,0
0,1,0,1,175500.0,Laborers,0,0,Single,0,0,32.0,13.0,0
0,1,0,1,175500.0,Laborers,0,0,Single,0,0,32.0,13.0,0
0,1,0,1,175500.0,Laborers,0,0,Single,0,0,32.0,13.0,0
0,1,0,1,175500.0,Laborers,0,0,Single,0,0,32.0,13.0,0
1,0,1,1,315000.0,Managers,1,1,Married,1,1,31.0,4.0,0
1,0,1,1,315000.0,Managers,1,1,Married,1,1,31.0,4.0,0
1,1,1,0,180000.0,Drivers,0,1,Married,1,0,58.0,4.0,0
0,0,1,1,45000.0,Cleaning staff,0,1,Married,1,0,42.0,2.0,0
0,0,1,1,45000.0,Cleaning staff,0,1,Married,1,0,42.0,2.0,0
0,0,1,1,45000.0,Cleaning staff,0,1,Married,1,0,42.0,2.0,0
0,0,1,1,45000.0,Cleaning staff,0,1,Married,1,0,42.0,2.0,0
0,0,1,1,45000.0,Cleaning staff,0,1,Married,1,0,42.0,2.0,0
0,0,0,1,225000.0,Medicine staff,1,1,Married,1,1,30.0,4.0,0
1,1,1,0,900000.0,Managers,0,1,Married,1,1,50.0,5.0,0
1,1,1,0,900000.0,Managers,0,1,Married,1,1,50.0,5.0,0
1,1,1,0,900000.0,Managers,0,1,Married,1,1,50.0,5.0,0
1,1,1,0,900000.0,Managers,0,1,Married,1,1,50.0,5.0,0
1,1,1,0,900000.0,Managers,0,1,Married,1,1,50.0,5.0,0
0,0,1,0,99000.0,Security staff,0,0,Previously Married,1,0,59.0,3.0,0
0,0,1,0,99000.0,Security staff,0,0,Previously Married,1,0,59.0,3.0,0
0,0,1,0,99000.0,Security staff,0,0,Previously Married,1,0,59.0,3.0,0
0,0,1,0,274500.0,High skill tech staff,0,1,Married,1,1,56.0,18.0,0
0,0,1,0,202500.0,Core staff,0,0,Previously Married,1,1,38.0,2.0,1
0,0,1,0,202500.0,Core staff,0,0,Previously Married,1,1,38.0,2.0,1
0,0,1,0,202500.0,Core staff,0,0,Previously Married,1,1,38.0,2.0,1
1,1,1,3,270000.0,Laborers,0,1,Married,1,0,33.0,3.0,0
1,0,0,0,202500.0,Laborers,0,0,Previously Married,1,0,39.0,17.0,0
1,0,0,0,202500.0,Laborers,0,0,Previously Married,1,0,39.0,17.0,0
1,0,0,0,202500.0,Laborers,0,0,Previously Married,1,0,39.0,17.0,0
0,0,0,2,180000.0,Sales staff,0,1,Married,1,1,37.0,8.0,0
0,0,0,2,180000.0,Sales staff,0,1,Married,1,1,37.0,8.0,0
0,0,0,2,180000.0,Sales staff,0,1,Married,1,1,37.0,8.0,0
0,0,1,0,270000.0,Core staff,0,0,Previously Married,1,1,36.0,0.0,0
1,1,0,2,225000.0,Drivers,0,1,Married,1,0,40.0,6.0,1
1,1,0,2,225000.0,Drivers,0,1,Married,1,0,40.0,6.0,1
1,1,0,2,225000.0,Drivers,0,1,Married,1,0,40.0,6.0,1
1,1,0,2,225000.0,Drivers,0,1,Married,1,0,40.0,6.0,1
1,1,0,2,225000.0,Drivers,0,1,Married,1,0,40.0,6.0,1
1,1,1,0,279000.0,Laborers,1,1,Married,1,0,56.0,11.0,0
0,0,1,0,90000.0,Core staff,0,0,Single,1,1,51.0,2.0,1
1,1,0,0,270000.0,Laborers,1,1,Married,1,0,35.0,3.0,0
1,1,0,0,270000.0,Laborers,1,1,Married,1,0,35.0,3.0,0
0,1,1,1,225000.0,Managers,1,1,Married,1,1,46.0,2.0,0
0,0,1,0,540000.0,Managers,0,1,Married,1,1,51.0,3.0,0
0,0,1,2,184500.0,Sales staff,0,1,Married,1,1,27.0,4.0,0
0,0,1,0,157500.0,Cooking staff,1,1,Married,1,0,32.0,5.0,0
0,0,1,0,157500.0,Cooking staff,1,1,Married,1,0,32.0,5.0,0
0,0,1,2,135000.0,Core staff,0,0,Previously Married,1,1,40.0,6.0,0
1,0,1,3,90000.0,Core staff,0,1,Married,1,1,34.0,4.0,1
1,0,1,0,360000.0,Laborers,1,1,Married,1,0,57.0,7.0,0
0,0,0,0,135000.0,Sales staff,0,1,Married,1,1,42.0,1.0,0
1,0,0,3,135000.0,Core staff,0,1,Married,1,1,30.0,7.0,1
1,1,1,0,292500.0,Laborers,0,0,Single,0,0,26.0,7.0,1
0,0,1,1,135000.0,Laborers,0,1,Married,1,0,38.0,1.0,0
1,0,1,0,162000.0,Security staff,0,0,Single,1,0,31.0,1.0,0
1,1,1,0,315000.0,Drivers,0,1,Married,1,0,42.0,3.0,0
1,1,1,0,315000.0,Drivers,0,1,Married,1,0,42.0,3.0,1
1,1,1,0,315000.0,Drivers,0,1,Married,1,0,42.0,3.0,0
1,1,1,0,315000.0,Drivers,0,1,Married,1,0,42.0,3.0,0
0,0,1,0,225000.0,Realty agents,0,1,Married,1,1,47.0,26.0,0
0,0,1,0,225000.0,Realty agents,0,1,Married,1,1,47.0,26.0,0
0,0,1,0,225000.0,Realty agents,0,1,Married,1,1,47.0,26.0,0
0,0,0,0,427500.0,Sales staff,0,1,Married,1,1,57.0,16.0,0
0,0,0,0,427500.0,Sales staff,0,1,Married,1,1,57.0,16.0,0
0,1,1,0,180000.0,Laborers,0,0,Single,1,0,36.0,7.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
0,0,0,0,117000.0,Sales staff,0,1,Married,0,1,36.0,3.0,0
1,1,1,0,180000.0,Managers,0,1,Married,1,1,34.0,7.0,1
1,1,1,0,180000.0,Managers,0,1,Married,1,1,34.0,7.0,1
0,0,1,2,135000.0,Medicine staff,0,1,Married,1,1,27.0,6.0,0
0,0,1,2,135000.0,Medicine staff,0,1,Married,1,1,27.0,6.0,0
0,0,1,2,135000.0,Medicine staff,0,1,Married,1,1,27.0,6.0,0
0,0,1,2,135000.0,Medicine staff,0,1,Married,1,1,27.0,6.0,0
0,0,1,2,135000.0,Medicine staff,0,1,Married,1,1,27.0,6.0,0
0,0,1,2,135000.0,Medicine staff,0,1,Married,1,1,27.0,6.0,0
0,0,0,0,90000.0,High skill tech staff,0,1,Married,1,1,27.0,1.0,0
0,0,1,0,225000.0,Medicine staff,0,0,Single,1,1,55.0,28.0,0
0,0,1,0,225000.0,Medicine staff,0,0,Single,1,1,55.0,28.0,0
1,0,1,0,171000.0,Drivers,0,1,Married,1,0,59.0,5.0,0
1,0,1,1,135000.0,Laborers,0,1,Married,1,0,28.0,7.0,0
1,0,1,1,135000.0,Laborers,0,1,Married,1,0,28.0,7.0,0
1,0,1,1,135000.0,Laborers,0,1,Married,1,0,28.0,7.0,0
